id,UQV story,query 1,query 2,Generalization/Specialization,Aspect Change,Paraphrasing,Naturality,Word ordering,"Generalization/Specification: specializing or generalizing within the provided backstory (information need)
Aspect change: moves to/from different aspects of the same information need
Paraphrasing: changes one (synonym replacement) or most of the words (paraphrasing) but mantains the same meaning.
Naturality: moves from a query that is kewyord based to a question based query and vice versa.
Word order: changes the order of some words."
191,UQV100.090,trees,what does a norway spruce look like,TRUE,FALSE,FALSE,FALSE,FALSE,
192,UQV100.045,what restaurants are in roosevelt island,roosevelt island best restaurant,FALSE,FALSE,FALSE,TRUE,FALSE,
193,UQV100.086,schizophrenia mental treatments,schizophrenia drugs treatments,FALSE,TRUE,FALSE,FALSE,FALSE,
194,UQV100.100,maths,the mean math,TRUE,FALSE,FALSE,FALSE,FALSE,
195,UQV100.063,scientific evidence for theory of evolution,human existence and evolution,FALSE,TRUE,FALSE,FALSE,FALSE,
196,UQV100.088,famous quotations from fidel castro between 1959-2008,famous sayings have been attributed to fidel castro,FALSE,FALSE,TRUE,FALSE,FALSE,
197,UQV100.045,restaurants ny on roosevelt island,local restaurants roosevelt island,FALSE,FALSE,TRUE,FALSE,FALSE,
198,UQV100.063,evidence relating to the theory of evolution,support for the theory of evolution,FALSE,FALSE,TRUE,FALSE,FALSE,
199,UQV100.093,current evidence that suggests facebook is effective as a communications tool and an educational medium,the goodsite and benefit of facebook,FALSE,FALSE,TRUE,FALSE,FALSE,
200,UQV100.093,the benefits of social networking,benefits of using social media kids,TRUE,FALSE,FALSE,FALSE,FALSE,
