id,UQV story,query 1,query 2,Generalization/Specialization,Aspect Change,Paraphrasing,Naturality,Word ordering,"Generalization/Specification: specializing or generalizing within the provided backstory (information need)
Aspect change: moves to/from different aspects of the same information need
Paraphrasing: changes one (synonym replacement) or most of the words (paraphrasing) but mantains the same meaning.
Naturality: moves from a query that is kewyord based to a question based query and vice versa.
Word order: changes the order of some words."
257,UQV100.074,vacation packages golf courses,golf vacations including lessons,FALSE,TRUE,FALSE,FALSE,FALSE,
258,UQV100.076,african-american cultural history,african-american music influence and history,TRUE,FALSE,FALSE,FALSE,FALSE,
259,UQV100.014,usa,tax information,FALSE,TRUE,FALSE,FALSE,FALSE,
260,UQV100.058,roof shapes and benefits,what are the advantages of a hip roof,TRUE,FALSE,FALSE,FALSE,FALSE,
261,UQV100.075,uss cole inquiry findings,bombing in yemen,TRUE,FALSE,FALSE,FALSE,FALSE,
262,UQV100.005,average amount usa individual gives each year in donations,how much per year does a usa individual donate to charity,FALSE,FALSE,TRUE,FALSE,FALSE,
263,UQV100.017,what do kids do on earth day,on earth day what kind of events or activities are there for children,FALSE,FALSE,FALSE,TRUE,FALSE,
264,UQV100.037,anxiety lump in throat causes,why and how can a lump get in your throat when you get nervous,FALSE,FALSE,FALSE,TRUE,FALSE,
265,UQV100.089,benefits of children yoga,yoga for kids benefits,FALSE,FALSE,TRUE,FALSE,FALSE,
266,UQV100.073,is zinc a good option for wilson's disease,wilson's disease and zinc,FALSE,FALSE,FALSE,TRUE,FALSE,
267,UQV100.012,designs for a home theater,home theater arrangement room,FALSE,FALSE,TRUE,FALSE,FALSE,
268,UQV100.075,bob damage to uss cole,the bombing of the uss cole	 what happen,FALSE,FALSE,TRUE,FALSE,FALSE,
269,UQV100.100,numbers sales report how to calculate,how to work out mean for numbers,FALSE,TRUE,FALSE,FALSE,FALSE,
270,UQV100.021,results of electoral college in 2008,2008 us presidential race results,FALSE,FALSE,TRUE,FALSE,FALSE,
271,UQV100.096,where to recycle car batteries locally,where to properly dispose of car batteries near me,FALSE,TRUE,FALSE,FALSE,FALSE,
272,UQV100.095,how tie windsor knot,how to tie a windsor knot,FALSE,FALSE,FALSE,TRUE,FALSE,
273,UQV100.073,wilson's disease	 and zinc,what does zinc do for wilson's disease,FALSE,FALSE,FALSE,TRUE,FALSE,
274,UQV100.017,earth day activities for kids,fun child activities earth day,FALSE,FALSE,TRUE,FALSE,FALSE,
275,UQV100.071,the best halloween activities for children,suitable halloween activities for your middle-school-aged children,TRUE,FALSE,FALSE,FALSE,FALSE,
276,UQV100.100,how to work out the mean of a set of numbers,how to find the steps of calculating the mean of a set of numbers,FALSE,FALSE,TRUE,FALSE,FALSE,
277,UQV100.006,wind farm harming agriculture,pros and cons of wind power and wind farms,TRUE,FALSE,FALSE,FALSE,FALSE,
278,UQV100.055,steiff bears cost,history of steiff bears germany,FALSE,TRUE,FALSE,FALSE,FALSE,
279,UQV100.062,invisible bald spot treatments,balding cures,FALSE,FALSE,TRUE,FALSE,FALSE,
280,UQV100.051,spider bites while gardening,identifying insect bites,FALSE,TRUE,FALSE,FALSE,FALSE,
281,UQV100.091,summer hiking sangre de cristo,hiking sangre de cristo mountain region new mexico,TRUE,FALSE,TRUE,FALSE,FALSE,
282,UQV100.007,bph info and treatment,treatment options for benign prostatic hyperplasia,FALSE,FALSE,TRUE,FALSE,FALSE,
283,UQV100.012,home theater design maximum listening and viewing,best home theater system setup and settings,FALSE,FALSE,TRUE,FALSE,FALSE,
284,UQV100.009,land surveying as a career,education required to work in land surveying,FALSE,FALSE,TRUE,FALSE,FALSE,
285,UQV100.006,pros and cons of wind power,wind farms pros and cons,FALSE,FALSE,FALSE,FALSE,TRUE,
286,UQV100.062,cures for a bald spot,cures for baldness,FALSE,FALSE,TRUE,FALSE,FALSE,
287,UQV100.051,different insect bites,spider bite from garden,TRUE,FALSE,FALSE,FALSE,FALSE,
288,UQV100.019,what was elvis presley's home called,elvis presley's home name,FALSE,FALSE,TRUE,FALSE,FALSE,
289,UQV100.057,summary of holes sachar,summary reviews for holes written by louis sachar,FALSE,FALSE,TRUE,FALSE,FALSE,
290,UQV100.071,halloween middle-school-aged children,halloween kids games,TRUE,FALSE,FALSE,FALSE,FALSE,
291,UQV100.047,"who was ""rain man' character based on",rain man inspiration,FALSE,FALSE,TRUE,TRUE,FALSE,
292,UQV100.063,theory of evolution evidence	 data,current evidence about the theory of evolution,FALSE,FALSE,TRUE,FALSE,TRUE,
293,UQV100.054,barrett's esophagus,barrett's esophagus and link to cancer,TRUE,FALSE,FALSE,FALSE,FALSE,
294,UQV100.032,irene hurricane flooding,flooding manville new jersey hurricane irene,FALSE,FALSE,TRUE,FALSE,FALSE,
295,UQV100.062,bald spot head,natural cures for bald spots,TRUE,FALSE,FALSE,FALSE,FALSE,
296,UQV100.052,orcas island historical sites,orcas island tourism,FALSE,FALSE,TRUE,FALSE,FALSE,
297,UQV100.032,impact of hurricane irene on manville new jersey,hurricane irene flooding in manville new jersey,FALSE,FALSE,TRUE,FALSE,FALSE,
298,UQV100.049,what are requirements for occupational therapists,requirements to become occupational therapists,FALSE,FALSE,TRUE,FALSE,FALSE,
299,UQV100.056,who is the saint of mental illness,name the patron saint of mental illness,FALSE,FALSE,TRUE,FALSE,FALSE,
300,UQV100.009,qualifications needed for land surveying,education needed for land surveying,FALSE,FALSE,TRUE,FALSE,FALSE,
301,UQV100.011,madagascar facts,what is madagascar famous for,TRUE,FALSE,FALSE,FALSE,FALSE,
302,UQV100.008,what is doctor zhivago all about,dr zhivago synopsis,FALSE,FALSE,TRUE,TRUE,FALSE,
303,UQV100.071,middle-school-aged halloween activities,suitable halloween activities for your middle-school-aged children,FALSE,FALSE,FALSE,TRUE,FALSE,
304,UQV100.050,what are the cons to a ford edge,reviews on the ford edge car,FALSE,FALSE,TRUE,FALSE,FALSE,
305,UQV100.060,american revolution major timeline events,american revolution facts,FALSE,FALSE,TRUE,FALSE,FALSE,
306,UQV100.098,a list of medical treatments endorsed by jehovah's witnesses,jehovah's witnesses and healthcare practices,FALSE,FALSE,TRUE,FALSE,FALSE,
307,UQV100.005,usa charities,average charity us donation,FALSE,TRUE,FALSE,FALSE,FALSE,
308,UQV100.054,barrett's esophagus cancer,barrett's esophagus and cancer,FALSE,FALSE,FALSE,TRUE,FALSE,
309,UQV100.048,how long do eggs keep,how long do free range eggs stay fresh for,TRUE,FALSE,FALSE,FALSE,FALSE,
310,UQV100.046,south carolina military history civil war,south carolina history,TRUE,FALSE,FALSE,FALSE,FALSE,
311,UQV100.032,how did hurricane irene affect manville,damage to manville from hurricane irene,FALSE,FALSE,TRUE,FALSE,FALSE,
312,UQV100.078,mister rogers theme lyrics,lyrics to mister rogers neighborhood theme,FALSE,FALSE,TRUE,FALSE,FALSE,
313,UQV100.011,madagascar famous things,natural attractions in madagascar,TRUE,FALSE,FALSE,FALSE,FALSE,
314,UQV100.032,flooding affect on manville	 new jersey,hurricane irene manville floods,FALSE,FALSE,TRUE,FALSE,FALSE,
315,UQV100.049,occupational therapist job academic requirements,job and education requirements for an occupational therapist,FALSE,FALSE,TRUE,FALSE,TRUE,
316,UQV100.051,identify spider bite,identifying spiders that bite,FALSE,TRUE,FALSE,FALSE,FALSE,
317,UQV100.096,car battery disposal locations,mobile service,FALSE,TRUE,FALSE,FALSE,FALSE,
318,UQV100.076,african american music influenced history and culture,african american music,TRUE,FALSE,FALSE,FALSE,FALSE,
319,UQV100.059,how to remove carpenter bee,how to get rid of a carpenter bee nest that's inside the wall of my house,TRUE,FALSE,FALSE,TRUE,FALSE,
320,UQV100.007,signs	 symptoms and cure for benign prostatic hyperplasia,what is benign prostatic hyperplasia,TRUE,FALSE,FALSE,FALSE,FALSE,
321,UQV100.077,cast bewitched,what are the names of the cast members of bewitched,FALSE,FALSE,FALSE,TRUE,FALSE,
322,UQV100.048,chicken eggs shelf life,how long safe to keep eggs,FALSE,FALSE,TRUE,FALSE,FALSE,
323,UQV100.046,how many battles were fought during the american civil war in south carolina,south carolina civil war battle sites,FALSE,FALSE,FALSE,TRUE,FALSE,
324,UQV100.074,resort with golf pro,golf lessons vacation package,FALSE,TRUE,FALSE,FALSE,FALSE,
325,UQV100.011,tourist attractions in madagascar,madagascar famous things,TRUE,FALSE,FALSE,FALSE,FALSE,
326,UQV100.097,techniques to prevent altitude sickness,mexico city altitude sickness techniques or treatments,TRUE,FALSE,FALSE,FALSE,FALSE,
327,UQV100.005,how much is the average donation from average us individuals,what is the average that usa individuals give each year in donations,FALSE,FALSE,TRUE,FALSE,FALSE,
328,UQV100.046,battle sites in south carolina from american civil war,south carolina military history,TRUE,FALSE,FALSE,FALSE,FALSE,
329,UQV100.009,education for land surveying,qualifications of land surveyors,FALSE,FALSE,TRUE,FALSE,FALSE,
330,UQV100.031,seven deadly sins joke,what are the 7 daily sins,TRUE,FALSE,FALSE,FALSE,FALSE,
331,UQV100.062,are there any cure for bald spot,bald spot treatments cures,FALSE,FALSE,TRUE,FALSE,FALSE,
332,UQV100.094,paleontology flowers,when did flowers first appear,TRUE,FALSE,FALSE,TRUE,FALSE,
333,UQV100.080,access internet browsing history chrome,how to find my browsing history,TRUE,FALSE,TRUE,FALSE,FALSE,
334,UQV100.099,is pink slime used in lunch boxes,pink slime and uses in school lunches,FALSE,FALSE,TRUE,FALSE,TRUE,
335,UQV100.014,tax rates,what does us capital gain consist of and its structure,FALSE,TRUE,FALSE,FALSE,FALSE,
336,UQV100.003,"reviews of ""les miserables""",reviews les miserables,FALSE,FALSE,FALSE,TRUE,FALSE,
337,UQV100.047,rain man movie,rain man movie wiki,TRUE,FALSE,FALSE,FALSE,FALSE,
338,UQV100.002,home page for uss carl vinson,uss carl vinson official,FALSE,FALSE,TRUE,FALSE,FALSE,
339,UQV100.037,anxiety physical symptoms,how it is that anxiety can cause a lump in your throat,FALSE,FALSE,TRUE,TRUE,FALSE,
340,UQV100.075,results of investigation into uss cole bombing,uss cole yemen bombing investigation,FALSE,FALSE,TRUE,FALSE,FALSE,
341,UQV100.040,what are the full names for the american presidents,george washington middle name,FALSE,TRUE,FALSE,FALSE,FALSE,
342,UQV100.009,ontario land surveying requirements,land surveying career,TRUE,FALSE,FALSE,FALSE,FALSE,
343,UQV100.063,evolution evidence,evidence of evolution theory,FALSE,FALSE,FALSE,TRUE,FALSE,
344,UQV100.099,pink slime used in school lunches,pink slime and uses in school lunches,FALSE,FALSE,TRUE,FALSE,TRUE,
345,UQV100.005,average individual donation in usa,average american individual donations,FALSE,FALSE,TRUE,FALSE,FALSE,
346,UQV100.005,average donation made by us citizen annually,what are average american donations to worthy causes,FALSE,FALSE,TRUE,FALSE,FALSE,
347,UQV100.037,why does anxiety cause lump in throat,how does anxiety cause throat lumps,FALSE,FALSE,TRUE,FALSE,FALSE,
348,UQV100.066,symptoms heart attack,heart attack symptoms in women,TRUE,FALSE,FALSE,FALSE,FALSE,
349,UQV100.078,lyrics mister rogers' neighborhood,mr rogers neighborhood lyrics,FALSE,FALSE,FALSE,FALSE,TRUE,
350,UQV100.098,jehovah's witnesses typical medical treatments,jehovah's witness health practices,FALSE,FALSE,TRUE,FALSE,FALSE,
351,UQV100.007,explain benign prostatic hyperplasia,benign prostatic hyperplasia treatment and symptoms,FALSE,FALSE,TRUE,FALSE,FALSE,
352,UQV100.071,halloween activities for kids,halloween activities for middle-aged,FALSE,TRUE,FALSE,FALSE,FALSE,
353,UQV100.063,current non science,evolution data evidence,FALSE,TRUE,FALSE,FALSE,FALSE,
354,UQV100.046,the total number of battles fought in south carolina during the american civil war,number of battles fought in south carolina,FALSE,FALSE,FALSE,TRUE,FALSE,
355,UQV100.099,pink slime health effects,pink slime meat schools,FALSE,TRUE,FALSE,FALSE,FALSE,
356,UQV100.065,wind speed of f5 tornado,tornado scales and wind speeds,TRUE,FALSE,FALSE,FALSE,FALSE,
357,UQV100.001,how much raspberry pi costs,pi cost,FALSE,FALSE,FALSE,TRUE,FALSE,
358,UQV100.008,doctor zhivago,dr zhivago plot summary,TRUE,FALSE,FALSE,FALSE,FALSE,
359,UQV100.069,how are the schools in marshall county	 west virginia,marshall county,TRUE,FALSE,FALSE,FALSE,FALSE,
360,UQV100.032,hurricane irene manville floods,hurricane irene disaster,TRUE,FALSE,FALSE,FALSE,FALSE,
361,UQV100.096,where to dispose old car batteries,disposing of old car battery,FALSE,FALSE,FALSE,TRUE,FALSE,
362,UQV100.049,educational requirements occupational therapists,job requirements for occupational therapists,FALSE,FALSE,TRUE,FALSE,FALSE,
363,UQV100.033,hair dye options for pregnant women,hair dye safe pregnancy,FALSE,FALSE,TRUE,FALSE,FALSE,
364,UQV100.019,what is elvis presley's home called,elvis presley home name,FALSE,FALSE,FALSE,TRUE,FALSE,
365,UQV100.046,total of battles were fought during american civil war,history of american civil war in south carolina,FALSE,TRUE,FALSE,FALSE,FALSE,
366,UQV100.083,hayride pennsylvania,pennsylvania hayride places,TRUE,FALSE,FALSE,FALSE,FALSE,
367,UQV100.066,heart attack symptoms,useful and useless web pages,FALSE,TRUE,FALSE,FALSE,FALSE,
368,UQV100.086,what stages of the mental illness schizophrenia,schizophrenia medications,FALSE,TRUE,FALSE,FALSE,FALSE,
369,UQV100.012,maximum listening and viewing plans for home theater,arranging home theater,FALSE,FALSE,TRUE,FALSE,FALSE,
370,UQV100.086,what drugs treat schizophrenia,treatment schizophrenia,FALSE,FALSE,FALSE,TRUE,FALSE,
371,UQV100.037,anxiety and lump in throat,why does public speaking cause anxiety,FALSE,TRUE,FALSE,FALSE,FALSE,
372,UQV100.048,typical shelf life,collecting eggs,FALSE,TRUE,FALSE,FALSE,FALSE,
373,UQV100.006,what are the disadvantages of building a wind farm near local farmland,negative effects of using wind power,TRUE,FALSE,FALSE,FALSE,FALSE,
374,UQV100.043,pictures of troops returning from afghanistan,what is written on the national flag,FALSE,TRUE,FALSE,FALSE,FALSE,
375,UQV100.096,car battery recycling near me,where to recycle car batteries locally,FALSE,FALSE,TRUE,FALSE,FALSE,
