dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
antique,189364,summarization_with_t5-base_from_description_to_title,naturality,how can i become a better ballet dancer,ballet dancer,FALSE,TRUE
antique,1907320,summarization_with_t5-base_from_description_to_title,naturality,how do i get college money,college money,TRUE,TRUE
antique,1907847,summarization_with_t5-base_from_description_to_title,naturality,what sounds like a clap,clap,FALSE,FALSE
antique,1933929,summarization_with_t5-base_from_description_to_title,naturality,why do dog go bathroom on the funiture,dog bathroom funiture,TRUE,TRUE
antique,196651,summarization_with_t5-base_from_description_to_title,naturality,what is the difference between customer and consumer,difference between customer and consumer,TRUE,TRUE
antique,1970273,summarization_with_t5-base_from_description_to_title,naturality,why do hot molecules move faster than cold molecules,hot molecules move faster than cold molecules,TRUE,FALSE
antique,1978816,summarization_with_t5-base_from_description_to_title,naturality,if god talked to moses why didn t god explain to moses about evolution  why all the day 5 day 6 lies,moses evolution,TRUE,TRUE
antique,2008456,summarization_with_t5-base_from_description_to_title,naturality,what can i do when my ignition key won t turn,ignition key not turning,TRUE,TRUE
antique,2035638,summarization_with_t5-base_from_description_to_title,naturality,why can t u wear white shoes on labour day,labour day white shoes,TRUE,TRUE
antique,2041828,summarization_with_t5-base_from_description_to_title,naturality,what does the bible mean by calling pride a deadly sin,pride in bible,TRUE,TRUE
antique,2048278,summarization_with_t5-base_from_description_to_title,naturality,what is the ph of a 0 4 m solution of ch3coona,ch3coona,FALSE,TRUE
antique,2094435,summarization_with_t5-base_from_description_to_title,naturality,what is involved in an artists  portfolio,artists portfolio,TRUE,TRUE
antique,2112535,summarization_with_t5-base_from_description_to_title,naturality,how come my moma doesent know what  30 4 is,moma doesent know what 30,FALSE,FALSE
antique,2113006,summarization_with_t5-base_from_description_to_title,naturality,when you go to buy a watch  why do all the watches clocks set to show 10 10,watch 10 10,TRUE,TRUE
antique,212427,summarization_with_t5-base_from_description_to_title,naturality,why do criminals practice crime,criminals crime,TRUE,TRUE
antique,2137263,summarization_with_t5-base_from_description_to_title,naturality,what is an  encronologist,encronologist,TRUE,TRUE
antique,2147417,summarization_with_t5-base_from_description_to_title,naturality,why doesn t glue stick to the inside of the bottle,glue inside bottle,TRUE,TRUE
antique,2155390,summarization_with_t5-base_from_description_to_title,naturality,can i feed my red eared slider steak,slider steak,FALSE,TRUE
antique,2169746,summarization_with_t5-base_from_description_to_title,naturality,how can i get rid of a boil  on vaginal labia and underarm pits,vaginal labia,FALSE,TRUE
antique,2175167,summarization_with_t5-base_from_description_to_title,naturality,what is your definition of pornography,pornography,TRUE,TRUE
antique,220575,summarization_with_t5-base_from_description_to_title,naturality,how do you use lube,lube,TRUE,TRUE
antique,2235825,summarization_with_t5-base_from_description_to_title,naturality,why do i fall asleep after i eat and how can i prevent that,why do i fall asleep after,TRUE,TRUE
antique,2306533,summarization_with_t5-base_from_description_to_title,naturality,how can i get water out of my ear,ear water,TRUE,TRUE
antique,2357505,summarization_with_t5-base_from_description_to_title,naturality,why do some people refer to the irs as uncle sam,irs uncle s,TRUE,TRUE
antique,2418824,summarization_with_t5-base_from_description_to_title,naturality,why do space shuttles move when the rockets are fired but not when water is ejected,shuttles move when rockets are,TRUE,TRUE
antique,2421078,summarization_with_t5-base_from_description_to_title,naturality,why is my chihuahua  male  so hateful,chihuahu,FALSE,TRUE
antique,242701,summarization_with_t5-base_from_description_to_title,naturality,why does taco bell always make me nauseas,taco bell nausea,TRUE,TRUE
antique,2439070,summarization_with_t5-base_from_description_to_title,naturality,why we get irritate,irritate,TRUE,TRUE
antique,2466898,summarization_with_t5-base_from_description_to_title,naturality,how do i install led s into my car,led s in car,TRUE,TRUE
antique,2492366,summarization_with_t5-base_from_description_to_title,naturality,what is so bad about the seal hunt,seal hunt,TRUE,TRUE
antique,2500918,summarization_with_t5-base_from_description_to_title,naturality,how do you cure poison oak and poison ivy,poison oak ivy,TRUE,TRUE
antique,2522067,summarization_with_t5-base_from_description_to_title,naturality,why are liberals incapable of identifying and confronting evil,evil liberals,FALSE,FALSE
antique,2534994,summarization_with_t5-base_from_description_to_title,naturality,what is the meaning of my first name andrei,andrei,TRUE,TRUE
antique,2543919,summarization_with_t5-base_from_description_to_title,naturality,what is the easiest way to make chocolate mousse,chocolate mousse,TRUE,TRUE
antique,2546730,summarization_with_t5-base_from_description_to_title,naturality,what quality of which is inherently contained in the question why,what quality of which is inherently,FALSE,FALSE
antique,2550445,summarization_with_t5-base_from_description_to_title,naturality,why do teens today find it amusing to tear one another apart,teens tear one another apart,TRUE,TRUE
antique,2571912,summarization_with_t5-base_from_description_to_title,naturality,if a coin is tossed twice  what is the probability of getting heads both times,coin tossed twice,FALSE,FALSE
antique,2573745,summarization_with_t5-base_from_description_to_title,naturality,how did african american women get the right to vote,african american women vote,TRUE,TRUE
antique,2573803,summarization_with_t5-base_from_description_to_title,naturality,how do you get rid of sweat stains on clothes,sweat stains,TRUE,TRUE
antique,2587810,summarization_with_t5-base_from_description_to_title,naturality,what happens to bile salts when gallbladder has been removed,gallbladder removal,FALSE,TRUE
antique,2613648,summarization_with_t5-base_from_description_to_title,naturality,how can i strengthen my eyes,i strengthen my eyes,FALSE,FALSE
antique,2620488,summarization_with_t5-base_from_description_to_title,naturality,why do they say dont keep eggs in the fridge if there is a special compartment in most fridges for eggs,egg compartment in fridge,TRUE,TRUE
antique,2630860,summarization_with_t5-base_from_description_to_title,naturality,why is god  male,god male,TRUE,TRUE
antique,2632334,summarization_with_t5-base_from_description_to_title,naturality,on the most fundamental level  why is killing other humans bad,killing other humans,TRUE,TRUE
antique,263783,summarization_with_t5-base_from_description_to_title,naturality,what affects did watergate have on the presidency,watergate presidency,TRUE,TRUE
antique,2677193,summarization_with_t5-base_from_description_to_title,naturality,what does the phrase  take no prisoners  mean,take no prisoners,TRUE,TRUE
antique,2678484,summarization_with_t5-base_from_description_to_title,naturality,what is the mean of bibliography,bibliography,TRUE,TRUE
antique,2678635,summarization_with_t5-base_from_description_to_title,naturality,why do husky s have coloful eyes then other dogs,husky eyes,TRUE,TRUE
antique,2689609,summarization_with_t5-base_from_description_to_title,naturality,why do people ignore global issues,global issues,FALSE,TRUE
antique,2700836,summarization_with_t5-base_from_description_to_title,naturality,how do you wire an 800 watt inverter,800 watt inverter,FALSE,TRUE
antique,2704,summarization_with_t5-base_from_description_to_title,naturality,why does it seem that no matter how hard you try,why is it that no matter how,TRUE,TRUE
antique,2735795,summarization_with_t5-base_from_description_to_title,naturality,how to decrease weight 100kg to 70kg,how to decrease weight 100kg to,TRUE,TRUE
antique,2764765,summarization_with_t5-base_from_description_to_title,naturality,how to study 17 18 hrs a day give me practical tips,17 18 hrs a day,FALSE,FALSE
antique,2776069,summarization_with_t5-base_from_description_to_title,naturality,what is taj mahal,taj mahal,TRUE,TRUE
antique,278043,summarization_with_t5-base_from_description_to_title,naturality,how is splitting a laser beam dangerous,laser beam splitting,TRUE,TRUE
antique,2858043,summarization_with_t5-base_from_description_to_title,naturality,how do you stop bad feelings toward the people,bad feelings towards the people,FALSE,TRUE
antique,2891885,summarization_with_t5-base_from_description_to_title,naturality,why does everone want a horse,everone s horse,FALSE,FALSE
antique,2897078,summarization_with_t5-base_from_description_to_title,naturality,how to get rid of stript throat,stript throat,TRUE,TRUE
antique,2901754,summarization_with_t5-base_from_description_to_title,naturality,how are fico scores calculated,fico scores,TRUE,TRUE
antique,2910592,summarization_with_t5-base_from_description_to_title,naturality,how do i get rid of pink eye quick at home,pink eye,TRUE,TRUE
antique,2942624,summarization_with_t5-base_from_description_to_title,naturality,why do random strangers keep asking me what ethnicity i am,ethnicity,FALSE,FALSE
antique,2961191,summarization_with_t5-base_from_description_to_title,naturality,what is ogopogo,ogopogo,TRUE,TRUE
antique,3083719,summarization_with_t5-base_from_description_to_title,naturality,how do you safely wean a person off risperidal,risperidal we,TRUE,FALSE
antique,3104841,summarization_with_t5-base_from_description_to_title,naturality,how do you take care of hamster gigy pig,hamster pig,FALSE,FALSE
antique,3118286,summarization_with_t5-base_from_description_to_title,naturality,how to reduce crime and violence,crime and violence,FALSE,TRUE
antique,3124162,summarization_with_t5-base_from_description_to_title,naturality,how can i get rid of a sinus infection without medication,sinus infection,FALSE,TRUE
antique,3152714,summarization_with_t5-base_from_description_to_title,naturality,i m a black women and don t like hair under arms or private area but always get razor bumps how can i prevent,i m a black,FALSE,FALSE
antique,3159749,summarization_with_t5-base_from_description_to_title,naturality,what is the difference between organic and inorganic eggs,organic eggs inorganic eggs,TRUE,TRUE
antique,3172166,summarization_with_t5-base_from_description_to_title,naturality,does any one know how to find out about an insurance claim,insurance claim,TRUE,TRUE
antique,317469,summarization_with_t5-base_from_description_to_title,naturality,how can i get rid off my pimples white black heads  and oiliness of my face,pimples and oily face,TRUE,TRUE
antique,3178012,summarization_with_t5-base_from_description_to_title,naturality,why do we find bricks in toilets,toilet bricks,TRUE,TRUE
antique,3211282,summarization_with_t5-base_from_description_to_title,naturality,i dont have any friands on yahoo how do i get some,yahoo friands,FALSE,FALSE
antique,3272207,summarization_with_t5-base_from_description_to_title,naturality,how to make pineapple upsidedown cake germain chocolate cake,pineapple upsidedown cake germain,TRUE,TRUE
antique,3280274,summarization_with_t5-base_from_description_to_title,naturality,what is a schnitzel,schnitzel,TRUE,TRUE
antique,332662,summarization_with_t5-base_from_description_to_title,naturality,what is sosiology,sosiology,TRUE,TRUE
antique,3374970,summarization_with_t5-base_from_description_to_title,naturality,what is the correct form  i wear glasses or i am wearing glasses and why,i wear glasses,FALSE,FALSE
antique,3382182,summarization_with_t5-base_from_description_to_title,naturality,is more difficult to train a male versus a female,male versus female training,TRUE,TRUE
antique,3407617,summarization_with_t5-base_from_description_to_title,naturality,why is prostitution wrong,prostitution,TRUE,TRUE
antique,344029,summarization_with_t5-base_from_description_to_title,naturality,what does bmr stand for when you are talking about health and what is bmr,bmr,TRUE,TRUE
antique,3470651,summarization_with_t5-base_from_description_to_title,naturality,how do i get rid of static shock electricity,static shock electricity,TRUE,TRUE
antique,348777,summarization_with_t5-base_from_description_to_title,naturality,why would a child s psychologist recommend hospitalization to develop social skills,a child s psychologist,FALSE,FALSE
antique,3495304,summarization_with_t5-base_from_description_to_title,naturality,how can i find a diabetic freind,diabetic freind,TRUE,TRUE
antique,3507499,summarization_with_t5-base_from_description_to_title,naturality,tell me the difference between revenge and vengeance,revenge vengeance,TRUE,TRUE
antique,3556937,summarization_with_t5-base_from_description_to_title,naturality,how is lava made,lava,TRUE,TRUE
antique,358253,summarization_with_t5-base_from_description_to_title,naturality,why do wiccans believe that they have magical powers when they don t ever produce any magic,wiccan magic,TRUE,TRUE
antique,3608433,summarization_with_t5-base_from_description_to_title,naturality,how fast is the chicago transit authority train,chicago transit authority train,FALSE,TRUE
antique,3617468,summarization_with_t5-base_from_description_to_title,naturality,how do yooh laugh,yooh laughs,TRUE,TRUE
antique,3626847,summarization_with_t5-base_from_description_to_title,naturality,what can  check engine  light signify in my 94 plymoth voyager,94 plymoth,FALSE,TRUE
antique,363519,summarization_with_t5-base_from_description_to_title,naturality,how do you install a oil breather on a 1994 ford tempo,ford tempo oil breather,FALSE,TRUE
antique,3635284,summarization_with_t5-base_from_description_to_title,naturality,what is the procedure for getting a paternity test,paternity test,TRUE,TRUE
antique,3651236,summarization_with_t5-base_from_description_to_title,naturality,what does the  21 mean,21,TRUE,TRUE
antique,3652886,summarization_with_t5-base_from_description_to_title,naturality,why isn t there a tool to suck up phlegm in your throat,phlegm s,FALSE,FALSE
antique,3690922,summarization_with_t5-base_from_description_to_title,naturality,how do u end a bad rep,bad rep,TRUE,TRUE
antique,3731489,summarization_with_t5-base_from_description_to_title,naturality,bulldog is aware of whats happening and trying to stop it  already at vet just waiting for blood work  ears fi,bulldogs vet blood work,TRUE,TRUE
antique,3738877,summarization_with_t5-base_from_description_to_title,naturality,if i had a bad breath what should i do,if i had a,FALSE,FALSE
antique,3752394,summarization_with_t5-base_from_description_to_title,naturality,why haven t muslims protested the terrorism by radical islam like they did the cartoon jihad,radical islam protests,TRUE,TRUE
antique,3814583,summarization_with_t5-base_from_description_to_title,naturality,why do only republicans defend martha stewart,martha stewart,FALSE,TRUE
antique,3824106,summarization_with_t5-base_from_description_to_title,naturality,what happens when a young girl  young boy meet alone,girl   boy meet alone,TRUE,TRUE
antique,3841762,summarization_with_t5-base_from_description_to_title,naturality,what is the most important number  and why,most important number,TRUE,TRUE
antique,3884772,summarization_with_t5-base_from_description_to_title,naturality,how about a bumper sticker thats says,bumper sticker,TRUE,TRUE
antique,3885753,summarization_with_t5-base_from_description_to_title,naturality,why are dead cockroaches always found lying on their backs instead of face down,dead cockroaches,TRUE,TRUE
antique,3913653,summarization_with_t5-base_from_description_to_title,naturality,how can sexual desire be overcome,sexual desire overcome,TRUE,TRUE
antique,3958214,summarization_with_t5-base_from_description_to_title,naturality,how is light energy turned into heat energy,how is light energy turned into heat,TRUE,FALSE
antique,3961,summarization_with_t5-base_from_description_to_title,naturality,how to stop rabbit from peeing on the floor,rabbit peeing on floor,TRUE,TRUE
antique,397709,summarization_with_t5-base_from_description_to_title,naturality,how and what court should i take a driver who damaged my liability insurance car,driver who damaged my liability insurance car,FALSE,TRUE
antique,4031702,summarization_with_t5-base_from_description_to_title,naturality,how to spice up our lovemaking,lovemaking,TRUE,TRUE
antique,4032777,summarization_with_t5-base_from_description_to_title,naturality,why do american people put there animals on such a pedestal,animals on pedestal,FALSE,TRUE
antique,4042061,summarization_with_t5-base_from_description_to_title,naturality,why do parakeets bounce up and down,parakeets bounce,TRUE,TRUE
antique,404359,summarization_with_t5-base_from_description_to_title,naturality,why is corruption high in the third world countries,corruption in the third world,TRUE,TRUE
antique,4048305,summarization_with_t5-base_from_description_to_title,naturality,why aren t there ever any guilty bystanders,guilty bystanders,TRUE,TRUE
antique,406082,summarization_with_t5-base_from_description_to_title,naturality,how do people build mussels on there biceps,mussels on bicep,TRUE,TRUE
antique,4069320,summarization_with_t5-base_from_description_to_title,naturality,athiests  how did you find the light,athiests,FALSE,TRUE
antique,4092472,summarization_with_t5-base_from_description_to_title,naturality,what does elucidate mean,elucidate,TRUE,TRUE
antique,4165672,summarization_with_t5-base_from_description_to_title,naturality,how do we get up early in the morning without alarm,how do we get up early in,FALSE,FALSE
antique,4183127,summarization_with_t5-base_from_description_to_title,naturality,why are some americans so prudish when it comes to sex,prudish sex,FALSE,TRUE
antique,4217473,summarization_with_t5-base_from_description_to_title,naturality,how do i remove the nude patch  v1 0 0 1022 from the sims 2 game,nude patch v1 0 0,FALSE,FALSE
antique,4237144,summarization_with_t5-base_from_description_to_title,naturality,why do we say   god bless you  when someone sneezes,sneezes,FALSE,TRUE
antique,4262151,summarization_with_t5-base_from_description_to_title,naturality,how should a pregnant woman deal with morning sickness,pregnant woman morning sickness,TRUE,TRUE
antique,4287367,summarization_with_t5-base_from_description_to_title,naturality,how can ppl tell if they r bipolar,bipolar ppl,TRUE,TRUE
antique,4287894,summarization_with_t5-base_from_description_to_title,naturality,how long is the train ride from italy to finland,train ride from italy to,FALSE,FALSE
antique,4336509,summarization_with_t5-base_from_description_to_title,naturality,what is the purpose of running a fever,a fever,FALSE,TRUE
antique,4387641,summarization_with_t5-base_from_description_to_title,naturality,how do i keep my cat from scratching my leather couch,cat scratching leather couch,TRUE,TRUE
antique,4400543,summarization_with_t5-base_from_description_to_title,naturality,why do some animals always have more than one baby   some animals don t,animals always have more than one baby,TRUE,TRUE
antique,4450252,summarization_with_t5-base_from_description_to_title,naturality,what are the causes of college dropouts,college dropouts,TRUE,TRUE
antique,461995,summarization_with_t5-base_from_description_to_title,naturality,why does my congregation complain about lenght of my  90 minute sermons,lenght of sermons,TRUE,TRUE
antique,489705,summarization_with_t5-base_from_description_to_title,naturality,what are some unwritten rules while using a urinal,urinal rules,TRUE,TRUE
antique,511835,summarization_with_t5-base_from_description_to_title,naturality,how and why did the roman empire fell apart,roman empire fell apart,TRUE,TRUE
antique,514804,summarization_with_t5-base_from_description_to_title,naturality,why isn t there any military bases in the state of mississippi,mississippi military,TRUE,TRUE
antique,544869,summarization_with_t5-base_from_description_to_title,naturality,why is it so easy to be bad,bad habits,FALSE,FALSE
antique,546552,summarization_with_t5-base_from_description_to_title,naturality,if jimmy hoffa is found on the farm  how will it change american culture,jimmy hoffa,TRUE,TRUE
antique,566364,summarization_with_t5-base_from_description_to_title,naturality,what are caskets its so amazing how they are made,caskets,TRUE,TRUE
antique,595342,summarization_with_t5-base_from_description_to_title,naturality,what is there to expect when you turn 17,17 years of age,TRUE,TRUE
antique,643630,summarization_with_t5-base_from_description_to_title,naturality,how do you keep your parents from divorcing,divorcing parents,TRUE,TRUE
antique,66151,summarization_with_t5-base_from_description_to_title,naturality,why does the it seem the u s  has more serial killers than other countries,u s  serial killer,FALSE,FALSE
antique,684633,summarization_with_t5-base_from_description_to_title,naturality,what s the best asian and why,what s the best a,FALSE,FALSE
antique,727663,summarization_with_t5-base_from_description_to_title,naturality,why do pigs wallow in mud,pigs wallow in,FALSE,FALSE
antique,752633,summarization_with_t5-base_from_description_to_title,naturality,how  did you do  when there  was a bomb  while  you were  shopping  in  new york,bombing in new york,FALSE,TRUE
antique,763189,summarization_with_t5-base_from_description_to_title,naturality,why was  wearing the colour green considered a sign of madness,wore the colour green,FALSE,FALSE
antique,772988,summarization_with_t5-base_from_description_to_title,naturality,what is the difference between dressing and stuffing,dressing and stuffing,TRUE,TRUE
antique,844617,summarization_with_t5-base_from_description_to_title,naturality,how are dna and rna similar,dna and r,FALSE,FALSE
antique,884643,summarization_with_t5-base_from_description_to_title,naturality,in the constellation lyra  why are some of the stars labeled with the roman alphabet,lyra stars,FALSE,TRUE
antique,913424,summarization_with_t5-base_from_description_to_title,naturality,why do i black out while i am driving,blackout while driving,TRUE,TRUE
antique,929821,summarization_with_t5-base_from_description_to_title,naturality,why do guys sniff their underwear,underwear sniffing,TRUE,TRUE
antique,937635,summarization_with_t5-base_from_description_to_title,naturality,why do they put braille on a drive through atm,braille drive through atm,TRUE,TRUE
antique,94629,summarization_with_t5-base_from_description_to_title,naturality,why receptors are good drug target,receptors,FALSE,TRUE
antique,961127,summarization_with_t5-base_from_description_to_title,naturality,why do we put up with the heresies of science,science heresies,TRUE,TRUE
antique,963523,summarization_with_t5-base_from_description_to_title,naturality,how to get mythral shards on kingdom hearts 2,kingdom hearts 2 mythral s,FALSE,FALSE
antique,98438,summarization_with_t5-base_from_description_to_title,naturality,where can i find a simplified explanation of how to use commas properly,commas,TRUE,TRUE
antique,986260,summarization_with_t5-base_from_description_to_title,naturality,what is currently the meaning of life,meaning of life,TRUE,TRUE
antique,993601,summarization_with_t5-base_from_description_to_title,naturality,why were black women abused sexually after the abolition of slavery in the us in 1865,black women sexually abused after,FALSE,FALSE
antique,1016750,back_translation_pivot_language_de,paraphrase,how do i erase all the contacts in my lg 6100 verizon phone at once,how can i delete all contacts in my lg 6100 verizon phone at the same time,TRUE,TRUE
antique,103298,back_translation_pivot_language_de,paraphrase,why precisely is foreign food considered ethnic,why is foreign food considered ethnic,TRUE,FALSE
antique,1034050,back_translation_pivot_language_de,paraphrase,why does the earth keep getting hotter and hotter every year,why is the earth getting hoter and hoter every year,TRUE,TRUE
antique,1037897,back_translation_pivot_language_de,paraphrase,why doesn t salt lake city have its own sub category,why does the salt lake city not have its own subcategory,TRUE,TRUE
antique,1051346,back_translation_pivot_language_de,paraphrase,why is it when people cross the street they do not look to see if traffic is coming,why is it when people cross the road  they don t see if traffic comes,TRUE,TRUE
antique,1097878,back_translation_pivot_language_de,paraphrase,how to become smart,how can you become intelligent,TRUE,TRUE
antique,1107012,back_translation_pivot_language_de,paraphrase,what does north by north west mean,what is north to northwest,TRUE,TRUE
antique,1158088,back_translation_pivot_language_de,paraphrase,why my neighbor s dog doesn t bark,why didn t my neighbor s dog breathe,FALSE,FALSE
antique,11706,back_translation_pivot_language_de,paraphrase,why not legalize  and tax prostitution,why not legalize and tax prostitution,TRUE,TRUE
antique,1184520,back_translation_pivot_language_de,paraphrase,why be an  a theist,why be a  a theist,TRUE,FALSE
antique,1188438,back_translation_pivot_language_de,paraphrase,why is there a fence runiing on the sides of the freeway in the middle of the desert up and over rough terrain,why there is a hole that flows on the sides of the free road in the middle of the desert and over the grey area,FALSE,FALSE
antique,1191621,back_translation_pivot_language_de,paraphrase,how can some one so negative go to hevan  if there is one,how can such a negative go to havana  if there is one,FALSE,FALSE
antique,1211877,back_translation_pivot_language_de,paraphrase,how does playing pool deal with science,how does pool play with science,FALSE,FALSE
antique,1246269,back_translation_pivot_language_de,paraphrase,how does a pardon work,how does a forgiveness work,FALSE,TRUE
antique,1251077,back_translation_pivot_language_de,paraphrase,what is the term  take hight road  mean,what does the term  high road  mean,FALSE,FALSE
antique,126182,back_translation_pivot_language_de,paraphrase,how can i find out if i have a warrant without paying a fee,how can i find out if i have a guarantee without paying a fee,FALSE,FALSE
antique,1289770,back_translation_pivot_language_de,paraphrase,what is the definition of answer,what is the definition of the answer,TRUE,TRUE
antique,1295284,back_translation_pivot_language_de,paraphrase,how can we solve a problem,how to solve a problem,TRUE,TRUE
antique,1321784,back_translation_pivot_language_de,paraphrase,how do blackberry s recognize that they are in their holster,how do blackberry know they re in their holster,TRUE,TRUE
antique,1341602,back_translation_pivot_language_de,paraphrase,what are some common causes of my cat s eye to be watery and drip clear fluid,what are some common reasons for my cat s eye to be water and drink clean fluid,TRUE,TRUE
antique,1423289,back_translation_pivot_language_de,paraphrase,why does my nextel turn off by itself,why does my successor disappear,FALSE,FALSE
antique,1440810,back_translation_pivot_language_de,paraphrase,what is the difference between hotmail and hotmale,what is the difference between hotmail and hotmail,FALSE,FALSE
antique,1443637,back_translation_pivot_language_de,paraphrase,how do you find info about a house s history that isn t  historical,how do you find information about the history of a house that is not  historical,TRUE,TRUE
antique,1450678,back_translation_pivot_language_de,paraphrase,why is my wang so enormous,why is my money so huge,FALSE,FALSE
antique,1458676,back_translation_pivot_language_de,paraphrase,why do criminals go back to the scene of the crime,why do criminals go back to the scene of crime,TRUE,FALSE
antique,1467322,back_translation_pivot_language_de,paraphrase,why do i keep coming on here asking stupid questions that dont really matter pray tell,why do i continue to come here and ask stupid questions that don t really mean to pray,TRUE,TRUE
antique,1471877,back_translation_pivot_language_de,paraphrase,why metals prices are getting all time high,why are metal prices increasing,TRUE,TRUE
antique,1485589,back_translation_pivot_language_de,paraphrase,how sun rises,how does the sun rise,TRUE,TRUE
antique,1512776,back_translation_pivot_language_de,paraphrase,why can t i post to a finance message board,why can t i post to a financial news board,FALSE,TRUE
antique,1514356,back_translation_pivot_language_de,paraphrase,why am i so sleepy even though i had a goodnights sleep,why am i so sleeping even if i had a good night sleeping,FALSE,FALSE
antique,1536937,back_translation_pivot_language_de,paraphrase,why is there chinese chartacters but then you can spell them out in english i e    wei  ni how ma  vs the,why there is a chinese map  but then you can split it in english  i e    wei  ni how ma  vs,FALSE,FALSE
antique,1583099,back_translation_pivot_language_de,paraphrase,why u s is trying 2 help israel  so what about palastene israel has more weapons than palastene,why is the us 2 trying to help israel  so what over the palaces israel has more weapons than the palaces,FALSE,FALSE
antique,1607303,back_translation_pivot_language_de,paraphrase,how does a single parent with four teenagers get rich,how can a single parent with four teenagers become rich,TRUE,TRUE
antique,1607924,back_translation_pivot_language_de,paraphrase,how does the earth go,how is the earth,TRUE,TRUE
antique,1639607,back_translation_pivot_language_de,paraphrase,what is a diruetic,what is a dyreetic,FALSE,FALSE
antique,1647624,back_translation_pivot_language_de,paraphrase,why do american s say eggsit,why do americans say eggs,FALSE,FALSE
antique,1708787,back_translation_pivot_language_de,paraphrase,how to loose wait without exercise,how to wait without exercise,FALSE,FALSE
antique,1727879,back_translation_pivot_language_de,paraphrase,why is organic all natural food  more expensive,why is organic all natural foods more expensive,TRUE,TRUE
antique,17665,back_translation_pivot_language_de,paraphrase,how do i get rid of a bird s nest   my kichen window,how can i get rid of the nose of a bird   my kichen window,FALSE,FALSE
antique,1881436,back_translation_pivot_language_de,paraphrase,how do motorcycle remains upright and stable by gyroscopic forces in detail    pls,how does the motorcycle remain rich and stable through gyroscopic forces,FALSE,FALSE
antique,1907320,back_translation_pivot_language_de,paraphrase,how do i get college money,how can i get college money,TRUE,TRUE
antique,1933929,back_translation_pivot_language_de,paraphrase,why do dog go bathroom on the funiture,why do dogs go to the bathroom,FALSE,FALSE
antique,1970273,back_translation_pivot_language_de,paraphrase,why do hot molecules move faster than cold molecules,why hot molecules move faster than cold molecules,TRUE,FALSE
antique,1978816,back_translation_pivot_language_de,paraphrase,if god talked to moses why didn t god explain to moses about evolution  why all the day 5 day 6 lies,if god talked to moses  why did god not explain to moses about evolution  why is the whole day 5 days 6 lies,TRUE,TRUE
antique,2008456,back_translation_pivot_language_de,paraphrase,what can i do when my ignition key won t turn,what can i do if my burning key doesn t turn,FALSE,FALSE
antique,2035638,back_translation_pivot_language_de,paraphrase,why can t u wear white shoes on labour day,why not wear white shoes on the day of work,FALSE,FALSE
antique,2041828,back_translation_pivot_language_de,paraphrase,what does the bible mean by calling pride a deadly sin,what does the bible mean when one calls pride a deadly sin,TRUE,TRUE
antique,2094435,back_translation_pivot_language_de,paraphrase,what is involved in an artists  portfolio,what is involved in the portfolio of an artist,TRUE,TRUE
antique,2112535,back_translation_pivot_language_de,paraphrase,how come my moma doesent know what  30 4 is,how does my mom come when i know what 30 4 is,FALSE,FALSE
antique,2113006,back_translation_pivot_language_de,paraphrase,when you go to buy a watch  why do all the watches clocks set to show 10 10,if you buy a clock  why all clocks show 10 10,TRUE,TRUE
