dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
antique,3272207,t5_uqv_paraphraser,paraphrase,how to make pineapple upsidedown cake germain chocolate cake,how to make a pineapple upsidedown cake,FALSE,FALSE
antique,3374970,t5_uqv_paraphraser,paraphrase,what is the correct form  i wear glasses or i am wearing glasses and why,what is the correct form of glasses,FALSE,FALSE
antique,3382182,t5_uqv_paraphraser,paraphrase,is more difficult to train a male versus a female,how to train a male versus a female,FALSE,FALSE
antique,344029,t5_uqv_paraphraser,paraphrase,what does bmr stand for when you are talking about health and what is bmr,what does bmr stand for when you are talking about health,TRUE,TRUE
antique,3507499,t5_uqv_paraphraser,paraphrase,tell me the difference between revenge and vengeance,what is the difference between revenge and vengeance,TRUE,TRUE
antique,358253,t5_uqv_paraphraser,paraphrase,why do wiccans believe that they have magical powers when they don t ever produce any magic,why do wiccans believe that they have magical powers,TRUE,TRUE
antique,363519,t5_uqv_paraphraser,paraphrase,how do you install a oil breather on a 1994 ford tempo,how do you install an oil breather on a 1994 ford tempo,TRUE,TRUE
antique,3738877,t5_uqv_paraphraser,paraphrase,if i had a bad breath what should i do,what should i do if i had a bad breath,TRUE,TRUE
antique,3814583,t5_uqv_paraphraser,paraphrase,why do only republicans defend martha stewart,why do republicans defend martha stewart,TRUE,TRUE
antique,3824106,t5_uqv_paraphraser,paraphrase,what happens when a young girl  young boy meet alone,what happens when a young girl meets a young boy alone,TRUE,TRUE
antique,3884772,t5_uqv_paraphraser,paraphrase,how about a bumper sticker thats says,how about a bumper sticker that says,FALSE,FALSE
antique,3885753,t5_uqv_paraphraser,paraphrase,why are dead cockroaches always found lying on their backs instead of face down,why are dead cockroaches always found lying on their backs,TRUE,TRUE
antique,3961,t5_uqv_paraphraser,paraphrase,how to stop rabbit from peeing on the floor,how to stop rabbit peeing on the floor,TRUE,TRUE
antique,4032777,t5_uqv_paraphraser,paraphrase,why do american people put there animals on such a pedestal,why do american people put animals on such pedestals,TRUE,TRUE
antique,406082,t5_uqv_paraphraser,paraphrase,how do people build mussels on there biceps,how do people build mussels on their biceps,TRUE,TRUE
antique,4069320,t5_uqv_paraphraser,paraphrase,athiests  how did you find the light,how did you find the light,FALSE,FALSE
antique,4217473,t5_uqv_paraphraser,paraphrase,how do i remove the nude patch  v1 0 0 1022 from the sims 2 game,how do i remove the nude patch v1 0 0 1022 from the sims 2 game,FALSE,FALSE
antique,4400543,t5_uqv_paraphraser,paraphrase,why do some animals always have more than one baby   some animals don t,why do some animals always have more than one baby   some don t,TRUE,TRUE
antique,461995,t5_uqv_paraphraser,paraphrase,why does my congregation complain about lenght of my  90 minute sermons,why does my congregation complain about lenght of my 90 minute sermons,FALSE,FALSE
antique,511835,t5_uqv_paraphraser,paraphrase,how and why did the roman empire fell apart,how and why did the roman empire fall apart,TRUE,TRUE
antique,514804,t5_uqv_paraphraser,paraphrase,why isn t there any military bases in the state of mississippi,military bases in mississippi,FALSE,TRUE
antique,566364,t5_uqv_paraphraser,paraphrase,what are caskets its so amazing how they are made,how are caskets made,TRUE,FALSE
antique,595342,t5_uqv_paraphraser,paraphrase,what is there to expect when you turn 17,what do you expect when you turn 17,TRUE,TRUE
antique,66151,t5_uqv_paraphraser,paraphrase,why does the it seem the u s  has more serial killers than other countries,why does it seem the u s  has more serial killers than other countries,FALSE,FALSE
antique,684633,t5_uqv_paraphraser,paraphrase,what s the best asian and why,what s the best asian food,FALSE,FALSE
antique,727663,t5_uqv_paraphraser,paraphrase,why do pigs wallow in mud,pigs wallow in mud,TRUE,TRUE
antique,752633,t5_uqv_paraphraser,paraphrase,how  did you do  when there  was a bomb  while  you were  shopping  in  new york,how did you do  when there was a bomb while you were shopping in new york,FALSE,FALSE
antique,763189,t5_uqv_paraphraser,paraphrase,why was  wearing the colour green considered a sign of madness,why was wearing the colour green considered a sign of madness,FALSE,FALSE
antique,884643,t5_uqv_paraphraser,paraphrase,in the constellation lyra  why are some of the stars labeled with the roman alphabet,why are some stars labeled with the roman alphabet,FALSE,TRUE
antique,913424,t5_uqv_paraphraser,paraphrase,why do i black out while i am driving,why do i black out while driving,TRUE,TRUE
antique,986260,t5_uqv_paraphraser,paraphrase,what is currently the meaning of life,what is the meaning of life,TRUE,TRUE
antique,1016750,WordSwapEmbedding,synonym,how do i erase all the contacts in my lg 6100 verizon phone at once,how do i erase all the contacts in my lg 6100 verizon tel at once,TRUE,TRUE
antique,103298,WordSwapEmbedding,synonym,why precisely is foreign food considered ethnic,why precisely is foreign alimentary considered ethnic,FALSE,FALSE
antique,1034050,WordSwapEmbedding,synonym,why does the earth keep getting hotter and hotter every year,why does the tierra keep getting hotter and hotter every year,FALSE,FALSE
antique,1037897,WordSwapEmbedding,synonym,why doesn t salt lake city have its own sub category,why doesn t saline lake city have its own sub category,FALSE,FALSE
antique,1051346,WordSwapEmbedding,synonym,why is it when people cross the street they do not look to see if traffic is coming,why is it when people cross the street they do not glance to see if traffic is coming,TRUE,TRUE
antique,1097878,WordSwapEmbedding,synonym,how to become smart,how to become ingenious,FALSE,TRUE
antique,1107012,WordSwapEmbedding,synonym,what does north by north west mean,what does nordic by north west mean,FALSE,FALSE
antique,1144768,WordSwapEmbedding,synonym,what is dark energy,what is blackness energy,FALSE,FALSE
antique,114758,WordSwapEmbedding,synonym,why does christianity teach,why does christian teach,TRUE,TRUE
antique,1158088,WordSwapEmbedding,synonym,why my neighbor s dog doesn t bark,why my neighbor s doggie doesn t bark,TRUE,TRUE
antique,11706,WordSwapEmbedding,synonym,why not legalize  and tax prostitution,why not legalize  and taxing prostitution,TRUE,TRUE
antique,1188438,WordSwapEmbedding,synonym,why is there a fence runiing on the sides of the freeway in the middle of the desert up and over rough terrain,why is there a fence runiing on the sides of the expressway in the idler of the desert up and over rough terrain,TRUE,TRUE
antique,1191621,WordSwapEmbedding,synonym,how can some one so negative go to hevan  if there is one,how can some one so noxious go to hevan  if there is one,TRUE,TRUE
antique,1211877,WordSwapEmbedding,synonym,how does playing pool deal with science,how does playing pool dealing with science,TRUE,TRUE
antique,1246269,WordSwapEmbedding,synonym,how does a pardon work,how does a pardons work,TRUE,FALSE
antique,1251077,WordSwapEmbedding,synonym,what is the term  take hight road  mean,what is the term  take hight chemin  mean,FALSE,FALSE
antique,126182,WordSwapEmbedding,synonym,how can i find out if i have a warrant without paying a fee,how can i find out if i have a warrant without wage a fee,FALSE,FALSE
antique,1289770,WordSwapEmbedding,synonym,what is the definition of answer,what is the definition of response,TRUE,TRUE
antique,1295284,WordSwapEmbedding,synonym,how can we solve a problem,how can we settling a problem,TRUE,TRUE
antique,1321784,WordSwapEmbedding,synonym,how do blackberry s recognize that they are in their holster,how do blackberry s acknowledgement that they are in their holster,TRUE,TRUE
antique,1341602,WordSwapEmbedding,synonym,what are some common causes of my cat s eye to be watery and drip clear fluid,what are some common causes of my cat s ocular to be watery and drip clear fluid,TRUE,TRUE
antique,1398838,WordSwapEmbedding,synonym,what does  crunching numbers  mean,what does  crunching digit  mean,FALSE,FALSE
antique,1423289,WordSwapEmbedding,synonym,why does my nextel turn off by itself,why does my nextel turning off by itself,TRUE,TRUE
antique,1440810,WordSwapEmbedding,synonym,what is the difference between hotmail and hotmale,what is the variance between hotmail and hotmale,TRUE,TRUE
antique,1443637,WordSwapEmbedding,synonym,how do you find info about a house s history that isn t  historical,how do you find info about a house s tale that isn t  historical,FALSE,FALSE
antique,1450678,WordSwapEmbedding,synonym,why is my wang so enormous,why is my wang so huge,TRUE,TRUE
antique,1458676,WordSwapEmbedding,synonym,why do criminals go back to the scene of the crime,why do criminals go back to the scene of the offence,TRUE,TRUE
antique,1467322,WordSwapEmbedding,synonym,why do i keep coming on here asking stupid questions that dont really matter pray tell,why do i keep coming on here asking stupid questions that dont really issue pray tell,FALSE,FALSE
antique,1471877,WordSwapEmbedding,synonym,why metals prices are getting all time high,why metals prices are getting all time alto,FALSE,FALSE
antique,1485589,WordSwapEmbedding,synonym,how sun rises,how sun soars,TRUE,TRUE
antique,1495234,WordSwapEmbedding,synonym,how do you use  incognito  in a sentence,how do you use  incognito  in a condemnation,FALSE,FALSE
antique,1512776,WordSwapEmbedding,synonym,why can t i post to a finance message board,why can t i post to a funding message board,FALSE,FALSE
antique,1514356,WordSwapEmbedding,synonym,why am i so sleepy even though i had a goodnights sleep,why am i so sleepy even despite i had a goodnights sleep,TRUE,TRUE
antique,1536937,WordSwapEmbedding,synonym,why is there chinese chartacters but then you can spell them out in english i e    wei  ni how ma  vs the,why is there chino chartacters but then you can spell them out in englishman i e    wei  ni how ma  vs the,FALSE,FALSE
antique,1582044,WordSwapEmbedding,synonym,how do tarot cards work,how do taro cards work,TRUE,TRUE
antique,1583099,WordSwapEmbedding,synonym,why u s is trying 2 help israel  so what about palastene israel has more weapons than palastene,why u s is attempts 2 help israel  so what about palastene israel has more weapons than palastene,TRUE,TRUE
antique,1607303,WordSwapEmbedding,synonym,how does a single parent with four teenagers get rich,how does a single parent with four teenagers got rich,TRUE,TRUE
antique,1607924,WordSwapEmbedding,synonym,how does the earth go,how does the terra go,FALSE,FALSE
antique,1647624,WordSwapEmbedding,synonym,why do american s say eggsit,why do american s told eggsit,FALSE,FALSE
antique,1708787,WordSwapEmbedding,synonym,how to loose wait without exercise,how to loose awaited without exercise,FALSE,FALSE
antique,1727343,WordSwapEmbedding,synonym,why do people have two nostrils,why do people have deux nostrils,FALSE,FALSE
antique,1727879,WordSwapEmbedding,synonym,why is organic all natural food  more expensive,why is organic all natural diet  more expensive,TRUE,TRUE
antique,17665,WordSwapEmbedding,synonym,how do i get rid of a bird s nest   my kichen window,how do i get rid of a bird s redd   my kichen window,FALSE,FALSE
antique,1881436,WordSwapEmbedding,synonym,how do motorcycle remains upright and stable by gyroscopic forces in detail    pls,how do biker remains upright and stable by gyroscopic forces in detail    pls,TRUE,TRUE
antique,189364,WordSwapEmbedding,synonym,how can i become a better ballet dancer,how can i becomes a better ballet dancer,TRUE,TRUE
antique,1907320,WordSwapEmbedding,synonym,how do i get college money,how do i get university money,TRUE,TRUE
antique,1907847,WordSwapEmbedding,synonym,what sounds like a clap,what sounds loves a clap,FALSE,FALSE
antique,1933929,WordSwapEmbedding,synonym,why do dog go bathroom on the funiture,why do dog go latrine on the funiture,FALSE,TRUE
antique,196651,WordSwapEmbedding,synonym,what is the difference between customer and consumer,what is the difference between clients and consumer,TRUE,FALSE
antique,1970273,WordSwapEmbedding,synonym,why do hot molecules move faster than cold molecules,why do hot molecules move faster than icy molecules,FALSE,FALSE
antique,1978816,WordSwapEmbedding,synonym,if god talked to moses why didn t god explain to moses about evolution  why all the day 5 day 6 lies,if goodness talked to moses why didn t god explained to moses about evolution  why all the day 5 day 6 lies,FALSE,FALSE
antique,2008456,WordSwapEmbedding,synonym,what can i do when my ignition key won t turn,what can i do when my ignition important won t turn,FALSE,FALSE
antique,2035638,WordSwapEmbedding,synonym,why can t u wear white shoes on labour day,why can t u wear white shoes on job day,FALSE,FALSE
antique,2041828,WordSwapEmbedding,synonym,what does the bible mean by calling pride a deadly sin,what does the bible mean by calling pride a deadly oin,FALSE,FALSE
antique,2048278,WordSwapEmbedding,synonym,what is the ph of a 0 4 m solution of ch3coona,what is the ph of a 0 4 m solving of ch3coona,TRUE,TRUE
antique,2094435,WordSwapEmbedding,synonym,what is involved in an artists  portfolio,what is implicated in an artists  portfolio,TRUE,TRUE
antique,2112535,WordSwapEmbedding,synonym,how come my moma doesent know what  30 4 is,how coming my moma doesent know what  30 4 is,TRUE,TRUE
antique,2113006,WordSwapEmbedding,synonym,when you go to buy a watch  why do all the watches clocks set to show 10 10,when you go to purchased a watch  why do all the watches clocks set to show 10 10,TRUE,TRUE
antique,212427,WordSwapEmbedding,synonym,why do criminals practice crime,why do criminals practice misdemeanour,TRUE,TRUE
antique,2147417,WordSwapEmbedding,synonym,why doesn t glue stick to the inside of the bottle,why doesn t paste stick to the inside of the bottle,FALSE,FALSE
antique,2155390,WordSwapEmbedding,synonym,can i feed my red eared slider steak,can i foods my red eared slider steak,FALSE,FALSE
antique,2169746,WordSwapEmbedding,synonym,how can i get rid of a boil  on vaginal labia and underarm pits,how can i get rid of a boil  on vaginal vulva and underarm pits,FALSE,FALSE
antique,2175167,WordSwapEmbedding,synonym,what is your definition of pornography,what is your definition of porn,TRUE,TRUE
antique,2180502,WordSwapEmbedding,synonym,how honest are you,how truthful are you,TRUE,TRUE
antique,220575,WordSwapEmbedding,synonym,how do you use lube,how do you use lubrication,TRUE,TRUE
antique,2235825,WordSwapEmbedding,synonym,why do i fall asleep after i eat and how can i prevent that,why do i fall asleep after i eat and how can i deter that,TRUE,TRUE
antique,2306533,WordSwapEmbedding,synonym,how can i get water out of my ear,how can i gets water out of my ear,TRUE,TRUE
antique,2357505,WordSwapEmbedding,synonym,why do some people refer to the irs as uncle sam,why do some people refer to the irs as uncle sams,TRUE,TRUE
antique,2418824,WordSwapEmbedding,synonym,why do space shuttles move when the rockets are fired but not when water is ejected,why do space shuttles move when the missiles are fired but not when water is ejected,FALSE,FALSE
antique,2421078,WordSwapEmbedding,synonym,why is my chihuahua  male  so hateful,why is my chihuahua  male  so detested,FALSE,FALSE
antique,242701,WordSwapEmbedding,synonym,why does taco bell always make me nauseas,why does taco bell continually make me nauseas,TRUE,TRUE
antique,2439070,WordSwapEmbedding,synonym,why we get irritate,why we got irritate,TRUE,TRUE
antique,2466898,WordSwapEmbedding,synonym,how do i install led s into my car,how do i install led s into my motorcars,TRUE,TRUE
antique,2492366,WordSwapEmbedding,synonym,what is so bad about the seal hunt,what is so bad about the seal hunting,TRUE,TRUE
antique,2500918,WordSwapEmbedding,synonym,how do you cure poison oak and poison ivy,how do you cure toxin oak and poison ivy,FALSE,FALSE
antique,2522067,WordSwapEmbedding,synonym,why are liberals incapable of identifying and confronting evil,why are liberals incapable of identifying and confronting demonic,FALSE,FALSE
antique,2534994,WordSwapEmbedding,synonym,what is the meaning of my first name andrei,what is the meaning of my first denomination andrei,FALSE,FALSE
antique,2543919,WordSwapEmbedding,synonym,what is the easiest way to make chocolate mousse,what is the easiest routes to make chocolate mousse,TRUE,TRUE
antique,2546730,WordSwapEmbedding,synonym,what quality of which is inherently contained in the question why,what quality of which is inherently contained in the issue why,FALSE,FALSE
antique,2550445,WordSwapEmbedding,synonym,why do teens today find it amusing to tear one another apart,why do teens today found it amusing to tear one another apart,TRUE,TRUE
antique,2571912,WordSwapEmbedding,synonym,if a coin is tossed twice  what is the probability of getting heads both times,if a coin is thrown twice  what is the probability of getting heads both times,TRUE,TRUE
antique,2573745,WordSwapEmbedding,synonym,how did african american women get the right to vote,how did african american women get the rights to vote,TRUE,TRUE
antique,2573803,WordSwapEmbedding,synonym,how do you get rid of sweat stains on clothes,how do you gets rid of sweat stains on clothes,TRUE,TRUE
antique,2587810,WordSwapEmbedding,synonym,what happens to bile salts when gallbladder has been removed,what comes to bile salts when gallbladder has been removed,TRUE,TRUE
antique,2613648,WordSwapEmbedding,synonym,how can i strengthen my eyes,how can i reinforcing my eyes,FALSE,FALSE
antique,2620488,WordSwapEmbedding,synonym,why do they say dont keep eggs in the fridge if there is a special compartment in most fridges for eggs,why do they say isnt keep eggs in the fridge if there is a special compartment in most icebox for eggs,FALSE,FALSE
antique,2630860,WordSwapEmbedding,synonym,why is god  male,why is deities  male,FALSE,FALSE
antique,2632334,WordSwapEmbedding,synonym,on the most fundamental level  why is killing other humans bad,on the most fundamental level  why is assassination other humans bad,TRUE,TRUE
antique,263783,WordSwapEmbedding,synonym,what affects did watergate have on the presidency,what afflicts did watergate have on the presidency,TRUE,TRUE
antique,2677193,WordSwapEmbedding,synonym,what does the phrase  take no prisoners  mean,what does the phrase  take no pows  mean,FALSE,FALSE
antique,2678484,WordSwapEmbedding,synonym,what is the mean of bibliography,what is the meaning of bibliography,TRUE,TRUE
antique,2678635,WordSwapEmbedding,synonym,why do husky s have coloful eyes then other dogs,why do husky s have coloful eye then other dogs,TRUE,FALSE
antique,2689609,WordSwapEmbedding,synonym,why do people ignore global issues,why do people ignore global matters,TRUE,TRUE
antique,2700836,WordSwapEmbedding,synonym,how do you wire an 800 watt inverter,how do you wired an 800 watt inverter,TRUE,TRUE
antique,2704,WordSwapEmbedding,synonym,why does it seem that no matter how hard you try,why does it seem that no matter how hard you attempts,TRUE,TRUE
antique,2735795,WordSwapEmbedding,synonym,how to decrease weight 100kg to 70kg,how to diminishing weight 100kg to 70kg,TRUE,TRUE
antique,2764765,WordSwapEmbedding,synonym,how to study 17 18 hrs a day give me practical tips,how to explores 17 18 hrs a day give me practical tips,FALSE,FALSE
antique,278043,WordSwapEmbedding,synonym,how is splitting a laser beam dangerous,how is splitting a laser beam risky,TRUE,TRUE
antique,2858043,WordSwapEmbedding,synonym,how do you stop bad feelings toward the people,how do you stop bad moods toward the people,TRUE,FALSE
antique,2891885,WordSwapEmbedding,synonym,why does everone want a horse,why does everone desiring a horse,TRUE,TRUE
antique,2897078,WordSwapEmbedding,synonym,how to get rid of stript throat,how to get extricate of stript throat,FALSE,FALSE
antique,2901754,WordSwapEmbedding,synonym,how are fico scores calculated,how are fico scores computed,TRUE,TRUE
antique,2910592,WordSwapEmbedding,synonym,how do i get rid of pink eye quick at home,how do i get rid of pink eye speedily at home,TRUE,TRUE
antique,2942624,WordSwapEmbedding,synonym,why do random strangers keep asking me what ethnicity i am,why do random strangers keep demand me what ethnicity i am,TRUE,FALSE
antique,3083719,WordSwapEmbedding,synonym,how do you safely wean a person off risperidal,how do you safely wean a anybody off risperidal,TRUE,FALSE
antique,3104841,WordSwapEmbedding,synonym,how do you take care of hamster gigy pig,how do you take care of hamster gigy pork,FALSE,FALSE
antique,3118286,WordSwapEmbedding,synonym,how to reduce crime and violence,how to reduce misdemeanors and violence,TRUE,FALSE
antique,3124162,WordSwapEmbedding,synonym,how can i get rid of a sinus infection without medication,how can i get rid of a sinus infection without medical,TRUE,TRUE
antique,3152714,WordSwapEmbedding,synonym,i m a black women and don t like hair under arms or private area but always get razor bumps how can i prevent,i m a black women and don t like hair under arms or private sphere but always got razor bumps how can i prevent,FALSE,FALSE
antique,3159749,WordSwapEmbedding,synonym,what is the difference between organic and inorganic eggs,what is the divergence between organic and inorganic eggs,TRUE,FALSE
antique,3172166,WordSwapEmbedding,synonym,does any one know how to find out about an insurance claim,does any one know how to find out about an insurance grievance,FALSE,FALSE
antique,317469,WordSwapEmbedding,synonym,how can i get rid off my pimples white black heads  and oiliness of my face,how can i get rid off my pimples white black heads  and oiliness of my faces,TRUE,TRUE
antique,3178012,WordSwapEmbedding,synonym,why do we find bricks in toilets,why do we find bricks in loo,TRUE,TRUE
antique,3211282,WordSwapEmbedding,synonym,i dont have any friands on yahoo how do i get some,i wouldnt have any friands on yahoo how do i get some,TRUE,FALSE
antique,3272207,WordSwapEmbedding,synonym,how to make pineapple upsidedown cake germain chocolate cake,how to make pineapple upsidedown cake germain chocolate pudding,FALSE,FALSE
antique,3374970,WordSwapEmbedding,synonym,what is the correct form  i wear glasses or i am wearing glasses and why,what is the correct form  i wear glasses or i am wearing eyeglasses and why,TRUE,FALSE
antique,3382182,WordSwapEmbedding,synonym,is more difficult to train a male versus a female,is more difficult to train a male versus a daughters,FALSE,FALSE
antique,3407617,WordSwapEmbedding,synonym,why is prostitution wrong,why is prostitution misspelled,FALSE,FALSE
antique,344029,WordSwapEmbedding,synonym,what does bmr stand for when you are talking about health and what is bmr,what does bmr stand for when you are speaks about health and what is bmr,TRUE,TRUE
antique,3470651,WordSwapEmbedding,synonym,how do i get rid of static shock electricity,how do i obtain rid of static shock electricity,FALSE,FALSE
antique,348777,WordSwapEmbedding,synonym,why would a child s psychologist recommend hospitalization to develop social skills,why would a child s psychologist recommends hospitalization to develop social skills,TRUE,TRUE
antique,3495304,WordSwapEmbedding,synonym,how can i find a diabetic freind,how can i found a diabetic freind,TRUE,FALSE
antique,3507499,WordSwapEmbedding,synonym,tell me the difference between revenge and vengeance,tell me the dispute between revenge and vengeance,FALSE,FALSE
antique,3556937,WordSwapEmbedding,synonym,how is lava made,how is lava accomplished,TRUE,TRUE
antique,358253,WordSwapEmbedding,synonym,why do wiccans believe that they have magical powers when they don t ever produce any magic,why do wiccans reckon that they have magical powers when they don t ever produce any magic,TRUE,TRUE
antique,3608433,WordSwapEmbedding,synonym,how fast is the chicago transit authority train,how swiftly is the chicago transit authority train,TRUE,TRUE
antique,3617468,WordSwapEmbedding,synonym,how do yooh laugh,how do yooh laughter,TRUE,TRUE
antique,3626847,WordSwapEmbedding,synonym,what can  check engine  light signify in my 94 plymoth voyager,what can  audit engine  light signify in my 94 plymoth voyager,FALSE,TRUE
antique,363519,WordSwapEmbedding,synonym,how do you install a oil breather on a 1994 ford tempo,how do you install a oil suction on a 1994 ford tempo,FALSE,FALSE
antique,3635284,WordSwapEmbedding,synonym,what is the procedure for getting a paternity test,what is the procedure for getting a fatherhood test,TRUE,TRUE
antique,3651236,WordSwapEmbedding,synonym,what does the  21 mean,what does the  21 imply,TRUE,TRUE
